Name,Year,Delivery,Affiliation,PCA1,PCA2,PCA3,Length
  Woodrow Wilson,1919,s,D,-0.01782745765410155,-0.02111862517218515,-0.035349172932591544,4787
  Woodrow Wilson,1920,s,D,-0.030948859291685657,-0.04549996320355082,0.009630604849809637,2726
  Warren Harding,1921,s,R,-0.05000110194271207,-0.052334038041314895,0.012164023478722669,5665
  Warren Harding,1922,s,R,-0.0017018039768558826,-0.06186796797358757,-0.019768108116743607,5816
  Calvin Coolidge,1923,s,R,-0.10947927651666085,0.020315115923037412,-0.002347762906671393,6804
  Calvin Coolidge,1924,w,R,-0.007574809483493511,-0.04314641610787202,-0.015737621344082704,7046
  Calvin Coolidge,1925,w,R,-0.02671806278002018,-0.05634154473834749,-0.003128426077821248,10964
  Calvin Coolidge,1926,w,R,0.015343850549148899,-0.01677343647751579,-0.03563129834255572,10413
  Calvin Coolidge,1927,w,R,-0.01593286015209866,-0.03490020253377096,0.010112353592201188,8882
  Calvin Coolidge,1928,w,R,-0.0009187857652173219,-0.03139506202636861,-0.032985458469471894,8181
  Herbert Hoover,1929,w,R,-0.011286096090626236,-0.06630308969947915,0.009084075245012447,11149
  Herbert Hoover,1930,w,R,-0.06028846264581371,-0.025212037267933887,-0.012939015414126126,4628
  Herbert Hoover,1931,w,R,-0.07564656711702465,-0.07510447570578813,-0.009311998916304107,5784
  Herbert Hoover,1932,w,R,-0.0370302795382107,-0.012821601505049473,-0.04522251117153965,1020
  Franklin D. Roosevelt,1934,s,D,-0.05372682372181818,-0.03165821104545558,-0.01778035676669014,2257
  Franklin D. Roosevelt,1935,s,D,-0.0903391197914386,-0.0001069316749630761,0.01673378680587892,3568
  Franklin D. Roosevelt,1936,s,D,-0.09972500167514473,-0.031463876898873505,0.013645805547205063,3865
  Franklin D. Roosevelt,1937,s,D,0.07711317669144886,-0.07974788224901563,-0.037280045362876296,2775
  Franklin D. Roosevelt,1938,s,D,0.054975629490779464,-0.05889851183141491,-0.01294815665145,4752
  Franklin D. Roosevelt,1939,s,D,-0.0032782064085696942,0.00840137335011567,-0.0005514639012275044,3826
  Franklin D. Roosevelt,1940,s,D,0.066927660131189,-0.11927808883752782,-0.015181288710664924,3239
  Franklin D. Roosevelt,1941,s,D,-0.0223942584995482,0.002034064867966312,0.012399934296619692,3378
  Franklin D. Roosevelt,1942,s,D,-0.07141125998337773,-0.014781819479663982,0.04995490940046599,3543
  Franklin D. Roosevelt,1943,s,D,0.11563361782809653,-0.008819766146433317,-0.09800784123081997,4631
  Franklin D. Roosevelt,1944,s,D,-0.004641408533261865,-0.01754643186040117,-0.018689360620254065,3839
  Franklin D. Roosevelt,1945,b,D,0.029511837174661024,-0.04086925007925592,-0.002940655190261496,8309
  Harry S. Truman,1946,w,D,-0.03247913113079604,-0.04904244206429209,0.03215028392595574,28262
  Harry S. Truman,1947,s,D,-0.11528959719376373,0.01618791394086328,-0.04209963991384838,6168
